symptom1,symptom2,symptom3,disease,remedies
fever,fever,fever,COVID-19,Isolation; Hydration; Doctor consultation
fever,headache,none,Bronchitis,Honey; Ginger tea; Steam inhalation
fever,body pain,fever,Dengue,Papaya leaf juice; Hydrate; Consult doctor
fever,body pain,cough,Strep Throat,Antibiotics; Hydration; Rest
fever,body pain,headache,COVID-19,Isolation; Hydration; Doctor consultation
fever,body pain,body pain,COVID-19,Isolation; Hydration; Doctor consultation
fever,body pain,chills,Malaria,Antimalarial drugs; Bed rest; Fluids
fever,body pain,sore throat,Food Poisoning,IV fluids; Rest; Electrolytes
fever,body pain,shortness of breath,Strep Throat,Antibiotics; Hydration; Rest
fever,body pain,fatigue,Flu,Bed rest; Hydration; Paracetamol
fever,body pain,nausea,Asthma,Inhaler; Avoid triggers; Rest
fever,body pain,vomiting,COVID-19,Isolation; Hydration; Doctor consultation
fever,body pain,diarrhea,COVID-19,Isolation; Hydration; Doctor consultation
fever,body pain,none,Pneumonia,Antibiotics; Hydration; Hospital care
fever,chills,fever,Malaria,Antimalarial drugs; Bed rest; Fluids
fever,chills,cough,Common Cold,Rest; Drink warm fluids; Paracetamol
fever,chills,headache,Pneumonia,Antibiotics; Hydration; Hospital care
fever,chills,body pain,Pneumonia,Antibiotics; Hydration; Hospital care
fever,chills,chills,COVID-19,Isolation; Hydration; Doctor consultation
fever,chills,sore throat,Malaria,Antimalarial drugs; Bed rest; Fluids
fever,chills,shortness of breath,Common Cold,Rest; Drink warm fluids; Paracetamol
fever,chills,fatigue,Pneumonia,Antibiotics; Hydration; Hospital care
fever,chills,nausea,Pneumonia,Antibiotics; Hydration; Hospital care
fever,chills,vomiting,Gastroenteritis,ORS; Rest; Hydration
fever,chills,diarrhea,Asthma,Inhaler; Avoid triggers; Rest
fever,chills,none,Food Poisoning,IV fluids; Rest; Electrolytes
fever,sore throat,fever,Pneumonia,Antibiotics; Hydration; Hospital care
fever,sore throat,cough,Migraine,Pain relievers; Avoid bright light; Hydrate
fever,sore throat,headache,Typhoid,Antibiotics; Hydration; Consult doctor
fever,sore throat,body pain,Common Cold,Rest; Drink warm fluids; Paracetamol
fever,sore throat,chills,Malaria,Antimalarial drugs; Bed rest; Fluids
fever,sore throat,sore throat,Dengue,Papaya leaf juice; Hydrate; Consult doctor
fever,sore throat,shortness of breath,Migraine,Pain relievers; Avoid bright light; Hydrate
fever,sore throat,fatigue,COVID-19,Isolation; Hydration; Doctor consultation
fever,sore throat,nausea,Typhoid,Antibiotics; Hydration; Consult doctor
fever,sore throat,vomiting,Common Cold,Rest; Drink warm fluids; Paracetamol
fever,sore throat,diarrhea,Common Cold,Rest; Drink warm fluids; Paracetamol
fever,sore throat,none,Flu,Bed rest; Hydration; Paracetamol
fever,shortness of breath,fever,Common Cold,Rest; Drink warm fluids; Paracetamol
fever,shortness of breath,cough,Asthma,Inhaler; Avoid triggers; Rest
fever,shortness of breath,headache,Migraine,Pain relievers; Avoid bright light; Hydrate
fever,shortness of breath,body pain,Migraine,Pain relievers; Avoid bright light; Hydrate
fever,shortness of breath,chills,Pneumonia,Antibiotics; Hydration; Hospital care
fever,shortness of breath,sore throat,COVID-19,Isolation; Hydration; Doctor consultation
fever,shortness of breath,shortness of breath,Asthma,Inhaler; Avoid triggers; Rest
fever,shortness of breath,fatigue,Strep Throat,Antibiotics; Hydration; Rest
fever,shortness of breath,nausea,Food Poisoning,IV fluids; Rest; Electrolytes
fever,shortness of breath,vomiting,Food Poisoning,IV fluids; Rest; Electrolytes
fever,shortness of breath,diarrhea,Dengue,Papaya leaf juice; Hydrate; Consult doctor
fever,shortness of breath,none,Malaria,Antimalarial drugs; Bed rest; Fluids
fever,fatigue,fever,Asthma,Inhaler; Avoid triggers; Rest
fever,fatigue,cough,Gastroenteritis,ORS; Rest; Hydration
fever,fatigue,headache,Malaria,Antimalarial drugs; Bed rest; Fluids
fever,fatigue,body pain,Malaria,Antimalarial drugs; Bed rest; Fluids
fever,fatigue,chills,Migraine,Pain relievers; Avoid bright light; Hydrate
fever,fatigue,sore throat,Gastroenteritis,ORS; Rest; Hydration
fever,fatigue,shortness of breath,Gastroenteritis,ORS; Rest; Hydration
fever,fatigue,fatigue,Common Cold,Rest; Drink warm fluids; Paracetamol
fever,fatigue,nausea,Malaria,Antimalarial drugs; Bed rest; Fluids
fever,fatigue,vomiting,Strep Throat,Antibiotics; Hydration; Rest
fever,fatigue,diarrhea,Strep Throat,Antibiotics; Hydration; Rest
fever,fatigue,none,Typhoid,Antibiotics; Hydration; Consult doctor
fever,nausea,fever,Migraine,Pain relievers; Avoid bright light; Hydrate
fever,nausea,cough,Malaria,Antimalarial drugs; Bed rest; Fluids
fever,nausea,headache,Flu,Bed rest; Hydration; Paracetamol
fever,nausea,body pain,Asthma,Inhaler; Avoid triggers; Rest
fever,nausea,chills,Bronchitis,Honey; Ginger tea; Steam inhalation
fever,nausea,sore throat,Migraine,Pain relievers; Avoid bright light; Hydrate
fever,nausea,shortness of breath,Malaria,Antimalarial drugs; Bed rest; Fluids
fever,nausea,fatigue,Asthma,Inhaler; Avoid triggers; Rest
fever,nausea,nausea,Flu,Bed rest; Hydration; Paracetamol
fever,nausea,vomiting,COVID-19,Isolation; Hydration; Doctor consultation
fever,nausea,diarrhea,Typhoid,Antibiotics; Hydration; Consult doctor
fever,nausea,none,Dengue,Papaya leaf juice; Hydrate; Consult doctor
fever,vomiting,fever,Asthma,Inhaler; Avoid triggers; Rest
fever,vomiting,cough,Flu,Bed rest; Hydration; Paracetamol
fever,vomiting,headache,Strep Throat,Antibiotics; Hydration; Rest
fever,vomiting,body pain,Strep Throat,Antibiotics; Hydration; Rest
fever,vomiting,chills,Dengue,Papaya leaf juice; Hydrate; Consult doctor
fever,vomiting,sore throat,Flu,Bed rest; Hydration; Paracetamol
fever,vomiting,shortness of breath,Flu,Bed rest; Hydration; Paracetamol
fever,vomiting,fatigue,Malaria,Antimalarial drugs; Bed rest; Fluids
fever,vomiting,nausea,Bronchitis,Honey; Ginger tea; Steam inhalation
fever,vomiting,vomiting,Malaria,Antimalarial drugs; Bed rest; Fluids
fever,vomiting,diarrhea,Food Poisoning,IV fluids; Rest; Electrolytes
fever,vomiting,none,COVID-19,Isolation; Hydration; Doctor consultation
fever,diarrhea,fever,Asthma,Inhaler; Avoid triggers; Rest
fever,diarrhea,cough,Asthma,Inhaler; Avoid triggers; Rest
fever,diarrhea,headache,Food Poisoning,IV fluids; Rest; Electrolytes
fever,diarrhea,body pain,Food Poisoning,IV fluids; Rest; Electrolytes
fever,diarrhea,chills,Dengue,Papaya leaf juice; Hydrate; Consult doctor
fever,diarrhea,sore throat,Asthma,Inhaler; Avoid triggers; Rest
fever,diarrhea,shortness of breath,Flu,Bed rest; Hydration; Paracetamol
fever,diarrhea,fatigue,Strep Throat,Antibiotics; Hydration; Rest
fever,diarrhea,nausea,Malaria,Antimalarial drugs; Bed rest; Fluids
fever,diarrhea,vomiting,Strep Throat,Antibiotics; Hydration; Rest
fever,diarrhea,diarrhea,Migraine,Pain relievers; Avoid bright light; Hydrate
fever,diarrhea,none,Typhoid,Antibiotics; Hydration; Consult doctor
fever,none,fever,Dengue,Papaya leaf juice; Hydrate; Consult doctor
fever,none,cough,Food Poisoning,IV fluids; Rest; Electrolytes
fever,none,headache,COVID-19,Isolation; Hydration; Doctor consultation
fever,none,body pain,COVID-19,Isolation; Hydration; Doctor consultation
fever,none,chills,Bronchitis,Honey; Ginger tea; Steam inhalation
fever,none,sore throat,Migraine,Pain relievers; Avoid bright light; Hydrate
fever,none,shortness of breath,Food Poisoning,IV fluids; Rest; Electrolytes
fever,none,fatigue,Asthma,Inhaler; Avoid triggers; Rest
fever,none,nausea,COVID-19,Isolation; Hydration; Doctor consultation
fever,none,vomiting,COVID-19,Isolation; Hydration; Doctor consultation
fever,none,diarrhea,Typhoid,Antibiotics; Hydration; Consult doctor
fever,none,none,Gastroenteritis,ORS; Rest; Hydration
cough,fever,fever,Flu,Bed rest; Hydration; Paracetamol
cough,fever,cough,Dengue,Papaya leaf juice; Hydrate; Consult doctor
cough,fever,headache,Common Cold,Rest; Drink warm fluids; Paracetamol
cough,fever,body pain,Bronchitis,Honey; Ginger tea; Steam inhalation
cough,fever,chills,Migraine,Pain relievers; Avoid bright light; Hydrate
cough,fever,sore throat,Gastroenteritis,ORS; Rest; Hydration
cough,fever,shortness of breath,Dengue,Papaya leaf juice; Hydrate; Consult doctor
cough,fever,fatigue,Bronchitis,Honey; Ginger tea; Steam inhalation
cough,fever,nausea,Common Cold,Rest; Drink warm fluids; Paracetamol
cough,fever,vomiting,Bronchitis,Honey; Ginger tea; Steam inhalation
cough,fever,diarrhea,Strep Throat,Antibiotics; Hydration; Rest
cough,fever,none,Asthma,Inhaler; Avoid triggers; Rest
cough,cough,fever,Typhoid,Antibiotics; Hydration; Consult doctor
cough,cough,cough,Asthma,Inhaler; Avoid triggers; Rest
cough,cough,headache,Food Poisoning,IV fluids; Rest; Electrolytes
cough,cough,body pain,Food Poisoning,IV fluids; Rest; Electrolytes
cough,cough,chills,Pneumonia,Antibiotics; Hydration; Hospital care
cough,cough,sore throat,COVID-19,Isolation; Hydration; Doctor consultation
cough,cough,shortness of breath,Asthma,Inhaler; Avoid triggers; Rest
cough,cough,fatigue,Strep Throat,Antibiotics; Hydration; Rest
cough,cough,nausea,Strep Throat,Antibiotics; Hydration; Rest
cough,cough,vomiting,Food Poisoning,IV fluids; Rest; Electrolytes
cough,cough,diarrhea,Migraine,Pain relievers; Avoid bright light; Hydrate
cough,cough,none,Bronchitis,Honey; Ginger tea; Steam inhalation
cough,headache,fever,Asthma,Inhaler; Avoid triggers; Rest
cough,headache,cough,Gastroenteritis,ORS; Rest; Hydration
cough,headache,headache,Malaria,Antimalarial drugs; Bed rest; Fluids
cough,headache,body pain,Malaria,Antimalarial drugs; Bed rest; Fluids
cough,headache,chills,Migraine,Pain relievers; Avoid bright light; Hydrate
cough,headache,sore throat,Gastroenteritis,ORS; Rest; Hydration
cough,headache,shortness of breath,Gastroenteritis,ORS; Rest; Hydration
cough,headache,fatigue,Bronchitis,Honey; Ginger tea; Steam inhalation
cough,headache,nausea,Malaria,Antimalarial drugs; Bed rest; Fluids
cough,headache,vomiting,Bronchitis,Honey; Ginger tea; Steam inhalation
cough,headache,diarrhea,Strep Throat,Antibiotics; Hydration; Rest
cough,headache,none,Typhoid,Antibiotics; Hydration; Consult doctor
cough,body pain,fever,Food Poisoning,IV fluids; Rest; Electrolytes
cough,body pain,cough,Bronchitis,Honey; Ginger tea; Steam inhalation
cough,body pain,headache,Gastroenteritis,ORS; Rest; Hydration
cough,body pain,body pain,Flu,Bed rest; Hydration; Paracetamol
cough,body pain,chills,Common Cold,Rest; Drink warm fluids; Paracetamol
cough,body pain,sore throat,Strep Throat,Antibiotics; Hydration; Rest
cough,body pain,shortness of breath,Bronchitis,Honey; Ginger tea; Steam inhalation
cough,body pain,fatigue,Pneumonia,Antibiotics; Hydration; Hospital care
cough,body pain,nausea,Gastroenteritis,ORS; Rest; Hydration
cough,body pain,vomiting,Flu,Bed rest; Hydration; Paracetamol
cough,body pain,diarrhea,COVID-19,Isolation; Hydration; Doctor consultation
cough,body pain,none,Migraine,Pain relievers; Avoid bright light; Hydrate
cough,chills,fever,Common Cold,Rest; Drink warm fluids; Paracetamol
cough,chills,cough,Typhoid,Antibiotics; Hydration; Consult doctor
cough,chills,headache,Dengue,Papaya leaf juice; Hydrate; Consult doctor
cough,chills,body pain,Dengue,Papaya leaf juice; Hydrate; Consult doctor
cough,chills,chills,Flu,Bed rest; Hydration; Paracetamol
cough,chills,sore throat,Common Cold,Rest; Drink warm fluids; Paracetamol
cough,chills,shortness of breath,Typhoid,Antibiotics; Hydration; Consult doctor
cough,chills,fatigue,Migraine,Pain relievers; Avoid bright light; Hydrate
cough,chills,nausea,Food Poisoning,IV fluids; Rest; Electrolytes
cough,chills,vomiting,Dengue,Papaya leaf juice; Hydrate; Consult doctor
cough,chills,diarrhea,Pneumonia,Antibiotics; Hydration; Hospital care
cough,chills,none,Malaria,Antimalarial drugs; Bed rest; Fluids
cough,sore throat,fever,Asthma,Inhaler; Avoid triggers; Rest
cough,sore throat,cough,Gastroenteritis,ORS; Rest; Hydration
cough,sore throat,headache,Malaria,Antimalarial drugs; Bed rest; Fluids
cough,sore throat,body pain,Malaria,Antimalarial drugs; Bed rest; Fluids
cough,sore throat,chills,Dengue,Papaya leaf juice; Hydrate; Consult doctor
cough,sore throat,sore throat,Asthma,Inhaler; Avoid triggers; Rest
cough,sore throat,shortness of breath,Gastroenteritis,ORS; Rest; Hydration
cough,sore throat,fatigue,Bronchitis,Honey; Ginger tea; Steam inhalation
cough,sore throat,nausea,Malaria,Antimalarial drugs; Bed rest; Fluids
cough,sore throat,vomiting,Strep Throat,Antibiotics; Hydration; Rest
cough,sore throat,diarrhea,Migraine,Pain relievers; Avoid bright light; Hydrate
cough,sore throat,none,Typhoid,Antibiotics; Hydration; Consult doctor
cough,shortness of breath,fever,Malaria,Antimalarial drugs; Bed rest; Fluids
cough,shortness of breath,cough,Common Cold,Rest; Drink warm fluids; Paracetamol
cough,shortness of breath,headache,Pneumonia,Antibiotics; Hydration; Hospital care
cough,shortness of breath,body pain,Pneumonia,Antibiotics; Hydration; Hospital care
cough,shortness of breath,chills,Typhoid,Antibiotics; Hydration; Consult doctor
cough,shortness of breath,sore throat,Bronchitis,Honey; Ginger tea; Steam inhalation
cough,shortness of breath,shortness of breath,Common Cold,Rest; Drink warm fluids; Paracetamol
cough,shortness of breath,fatigue,Dengue,Papaya leaf juice; Hydrate; Consult doctor
cough,shortness of breath,nausea,Pneumonia,Antibiotics; Hydration; Hospital care
cough,shortness of breath,vomiting,Gastroenteritis,ORS; Rest; Hydration
cough,shortness of breath,diarrhea,Asthma,Inhaler; Avoid triggers; Rest
cough,shortness of breath,none,Food Poisoning,IV fluids; Rest; Electrolytes
cough,fatigue,fever,Common Cold,Rest; Drink warm fluids; Paracetamol
cough,fatigue,cough,Asthma,Inhaler; Avoid triggers; Rest
cough,fatigue,headache,Food Poisoning,IV fluids; Rest; Electrolytes
cough,fatigue,body pain,Food Poisoning,IV fluids; Rest; Electrolytes
cough,fatigue,chills,Flu,Bed rest; Hydration; Paracetamol
cough,fatigue,sore throat,Typhoid,Antibiotics; Hydration; Consult doctor
cough,fatigue,shortness of breath,Asthma,Inhaler; Avoid triggers; Rest
cough,fatigue,fatigue,Strep Throat,Antibiotics; Hydration; Rest
cough,fatigue,nausea,Food Poisoning,IV fluids; Rest; Electrolytes
cough,fatigue,vomiting,Migraine,Pain relievers; Avoid bright light; Hydrate
cough,fatigue,diarrhea,Pneumonia,Antibiotics; Hydration; Hospital care
cough,fatigue,none,Bronchitis,Honey; Ginger tea; Steam inhalation
cough,nausea,fever,Flu,Bed rest; Hydration; Paracetamol
cough,nausea,cough,Pneumonia,Antibiotics; Hydration; Hospital care
cough,nausea,headache,Bronchitis,Honey; Ginger tea; Steam inhalation
cough,nausea,body pain,Bronchitis,Honey; Ginger tea; Steam inhalation
cough,nausea,chills,Food Poisoning,IV fluids; Rest; Electrolytes
cough,nausea,sore throat,Pneumonia,Antibiotics; Hydration; Hospital care
cough,nausea,shortness of breath,Pneumonia,Antibiotics; Hydration; Hospital care
cough,nausea,fatigue,Typhoid,Antibiotics; Hydration; Consult doctor
cough,nausea,nausea,Bronchitis,Honey; Ginger tea; Steam inhalation
cough,nausea,vomiting,Malaria,Antimalarial drugs; Bed rest; Fluids
cough,nausea,diarrhea,Malaria,Antimalarial drugs; Bed rest; Fluids
cough,nausea,none,COVID-19,Isolation; Hydration; Doctor consultation
cough,vomiting,fever,Flu,Bed rest; Hydration; Paracetamol
cough,vomiting,cough,Pneumonia,Antibiotics; Hydration; Hospital care
cough,vomiting,headache,Bronchitis,Honey; Ginger tea; Steam inhalation
cough,vomiting,body pain,Bronchitis,Honey; Ginger tea; Steam inhalation
cough,vomiting,chills,Food Poisoning,IV fluids; Rest; Electrolytes
cough,vomiting,sore throat,Pneumonia,Antibiotics; Hydration; Hospital care
cough,vomiting,shortness of breath,Pneumonia,Antibiotics; Hydration; Hospital care
cough,vomiting,fatigue,Common Cold,Rest; Drink warm fluids; Paracetamol
cough,vomiting,nausea,Typhoid,Antibiotics; Hydration; Consult doctor
cough,vomiting,vomiting,Common Cold,Rest; Drink warm fluids; Paracetamol
cough,vomiting,diarrhea,Malaria,Antimalarial drugs; Bed rest; Fluids
cough,vomiting,none,COVID-19,Isolation; Hydration; Doctor consultation
cough,diarrhea,fever,Asthma,Inhaler; Avoid triggers; Rest
cough,diarrhea,cough,Pneumonia,Antibiotics; Hydration; Hospital care
cough,diarrhea,headache,Bronchitis,Honey; Ginger tea; Steam inhalation
cough,diarrhea,body pain,Malaria,Antimalarial drugs; Bed rest; Fluids
cough,diarrhea,chills,Food Poisoning,IV fluids; Rest; Electrolytes
cough,diarrhea,sore throat,Gastroenteritis,ORS; Rest; Hydration
cough,diarrhea,shortness of breath,Pneumonia,Antibiotics; Hydration; Hospital care
cough,diarrhea,fatigue,Common Cold,Rest; Drink warm fluids; Paracetamol
cough,diarrhea,nausea,Common Cold,Rest; Drink warm fluids; Paracetamol
cough,diarrhea,vomiting,Bronchitis,Honey; Ginger tea; Steam inhalation
cough,diarrhea,diarrhea,Strep Throat,Antibiotics; Hydration; Rest
cough,diarrhea,none,COVID-19,Isolation; Hydration; Doctor consultation
cough,none,fever,Food Poisoning,IV fluids; Rest; Electrolytes
cough,none,cough,Malaria,Antimalarial drugs; Bed rest; Fluids
cough,none,headache,Flu,Bed rest; Hydration; Paracetamol
cough,none,body pain,Flu,Bed rest; Hydration; Paracetamol
cough,none,chills,Typhoid,Antibiotics; Hydration; Consult doctor
cough,none,sore throat,Strep Throat,Antibiotics; Hydration; Rest
cough,none,shortness of breath,Malaria,Antimalarial drugs; Bed rest; Fluids
cough,none,fatigue,Gastroenteritis,ORS; Rest; Hydration
cough,none,nausea,Flu,Bed rest; Hydration; Paracetamol
cough,none,vomiting,Asthma,Inhaler; Avoid triggers; Rest
cough,none,diarrhea,Asthma,Inhaler; Avoid triggers; Rest
cough,none,none,Dengue,Papaya leaf juice; Hydrate; Consult doctor
headache,fever,fever,Dengue,Papaya leaf juice; Hydrate; Consult doctor
headache,fever,cough,Dengue,Papaya leaf juice; Hydrate; Consult doctor
headache,fever,headache,COVID-19,Isolation; Hydration; Doctor consultation
headache,fever,body pain,COVID-19,Isolation; Hydration; Doctor consultation
headache,fever,chills,Strep Throat,Antibiotics; Hydration; Rest
headache,fever,sore throat,Dengue,Papaya leaf juice; Hydrate; Consult doctor
headache,fever,shortness of breath,Dengue,Papaya leaf juice; Hydrate; Consult doctor
headache,fever,fatigue,Typhoid,Antibiotics; Hydration; Consult doctor
headache,fever,nausea,COVID-19,Isolation; Hydration; Doctor consultation
headache,fever,vomiting,Typhoid,Antibiotics; Hydration; Consult doctor
headache,fever,diarrhea,Bronchitis,Honey; Ginger tea; Steam inhalation
headache,fever,none,Gastroenteritis,ORS; Rest; Hydration
headache,cough,fever,Food Poisoning,IV fluids; Rest; Electrolytes
headache,cough,cough,Malaria,Antimalarial drugs; Bed rest; Fluids
headache,cough,headache,Flu,Bed rest; Hydration; Paracetamol
headache,cough,body pain,Flu,Bed rest; Hydration; Paracetamol
headache,cough,chills,Common Cold,Rest; Drink warm fluids; Paracetamol
headache,cough,sore throat,Food Poisoning,IV fluids; Rest; Electrolytes
headache,cough,shortness of breath,Malaria,Antimalarial drugs; Bed rest; Fluids
headache,cough,fatigue,Flu,Bed rest; Hydration; Paracetamol
headache,cough,nausea,Flu,Bed rest; Hydration; Paracetamol
headache,cough,vomiting,Asthma,Inhaler; Avoid triggers; Rest
headache,cough,diarrhea,COVID-19,Isolation; Hydration; Doctor consultation
headache,cough,none,Dengue,Papaya leaf juice; Hydrate; Consult doctor
headache,headache,fever,Malaria,Antimalarial drugs; Bed rest; Fluids
headache,headache,cough,Bronchitis,Honey; Ginger tea; Steam inhalation
headache,headache,headache,Gastroenteritis,ORS; Rest; Hydration
headache,headache,body pain,Gastroenteritis,ORS; Rest; Hydration
headache,headache,chills,COVID-19,Isolation; Hydration; Doctor consultation
headache,headache,sore throat,Malaria,Antimalarial drugs; Bed rest; Fluids
headache,headache,shortness of breath,Bronchitis,Honey; Ginger tea; Steam inhalation
headache,headache,fatigue,Pneumonia,Antibiotics; Hydration; Hospital care
headache,headache,nausea,Pneumonia,Antibiotics; Hydration; Hospital care
headache,headache,vomiting,Pneumonia,Antibiotics; Hydration; Hospital care
headache,headache,diarrhea,Flu,Bed rest; Hydration; Paracetamol
headache,headache,none,Strep Throat,Antibiotics; Hydration; Rest
headache,body pain,fever,Asthma,Inhaler; Avoid triggers; Rest
headache,body pain,cough,Pneumonia,Antibiotics; Hydration; Hospital care
headache,body pain,headache,Malaria,Antimalarial drugs; Bed rest; Fluids
headache,body pain,body pain,Malaria,Antimalarial drugs; Bed rest; Fluids
headache,body pain,chills,Food Poisoning,IV fluids; Rest; Electrolytes
headache,body pain,sore throat,Gastroenteritis,ORS; Rest; Hydration
headache,body pain,shortness of breath,Pneumonia,Antibiotics; Hydration; Hospital care
headache,body pain,fatigue,Common Cold,Rest; Drink warm fluids; Paracetamol
headache,body pain,nausea,Bronchitis,Honey; Ginger tea; Steam inhalation
headache,body pain,vomiting,Strep Throat,Antibiotics; Hydration; Rest
headache,body pain,diarrhea,Strep Throat,Antibiotics; Hydration; Rest
headache,body pain,none,COVID-19,Isolation; Hydration; Doctor consultation
headache,chills,fever,Dengue,Papaya leaf juice; Hydrate; Consult doctor
headache,chills,cough,Food Poisoning,IV fluids; Rest; Electrolytes
headache,chills,headache,COVID-19,Isolation; Hydration; Doctor consultation
headache,chills,body pain,COVID-19,Isolation; Hydration; Doctor consultation
headache,chills,chills,Malaria,Antimalarial drugs; Bed rest; Fluids
headache,chills,sore throat,Dengue,Papaya leaf juice; Hydrate; Consult doctor
headache,chills,shortness of breath,Food Poisoning,IV fluids; Rest; Electrolytes
headache,chills,fatigue,Asthma,Inhaler; Avoid triggers; Rest
headache,chills,nausea,COVID-19,Isolation; Hydration; Doctor consultation
headache,chills,vomiting,Typhoid,Antibiotics; Hydration; Consult doctor
headache,chills,diarrhea,Bronchitis,Honey; Ginger tea; Steam inhalation
headache,chills,none,Gastroenteritis,ORS; Rest; Hydration
headache,sore throat,fever,Strep Throat,Antibiotics; Hydration; Rest
headache,sore throat,cough,Bronchitis,Honey; Ginger tea; Steam inhalation
headache,sore throat,headache,Gastroenteritis,ORS; Rest; Hydration
headache,sore throat,body pain,Gastroenteritis,ORS; Rest; Hydration
headache,sore throat,chills,Common Cold,Rest; Drink warm fluids; Paracetamol
headache,sore throat,sore throat,Malaria,Antimalarial drugs; Bed rest; Fluids
headache,sore throat,shortness of breath,Bronchitis,Honey; Ginger tea; Steam inhalation
headache,sore throat,fatigue,Pneumonia,Antibiotics; Hydration; Hospital care
headache,sore throat,nausea,Gastroenteritis,ORS; Rest; Hydration
headache,sore throat,vomiting,Flu,Bed rest; Hydration; Paracetamol
headache,sore throat,diarrhea,COVID-19,Isolation; Hydration; Doctor consultation
headache,sore throat,none,Migraine,Pain relievers; Avoid bright light; Hydrate
headache,shortness of breath,fever,Flu,Bed rest; Hydration; Paracetamol
headache,shortness of breath,cough,Dengue,Papaya leaf juice; Hydrate; Consult doctor
headache,shortness of breath,headache,Common Cold,Rest; Drink warm fluids; Paracetamol
headache,shortness of breath,body pain,Bronchitis,Honey; Ginger tea; Steam inhalation
headache,shortness of breath,chills,Strep Throat,Antibiotics; Hydration; Rest
headache,shortness of breath,sore throat,Pneumonia,Antibiotics; Hydration; Hospital care
headache,shortness of breath,shortness of breath,Dengue,Papaya leaf juice; Hydrate; Consult doctor
headache,shortness of breath,fatigue,Typhoid,Antibiotics; Hydration; Consult doctor
headache,shortness of breath,nausea,Common Cold,Rest; Drink warm fluids; Paracetamol
headache,shortness of breath,vomiting,Bronchitis,Honey; Ginger tea; Steam inhalation
headache,shortness of breath,diarrhea,Bronchitis,Honey; Ginger tea; Steam inhalation
headache,shortness of breath,none,Asthma,Inhaler; Avoid triggers; Rest
headache,fatigue,fever,Dengue,Papaya leaf juice; Hydrate; Consult doctor
headache,fatigue,cough,Strep Throat,Antibiotics; Hydration; Rest
headache,fatigue,headache,COVID-19,Isolation; Hydration; Doctor consultation
headache,fatigue,body pain,COVID-19,Isolation; Hydration; Doctor consultation
headache,fatigue,chills,Common Cold,Rest; Drink warm fluids; Paracetamol
headache,fatigue,sore throat,Food Poisoning,IV fluids; Rest; Electrolytes
headache,fatigue,shortness of breath,Food Poisoning,IV fluids; Rest; Electrolytes
headache,fatigue,fatigue,Flu,Bed rest; Hydration; Paracetamol
headache,fatigue,nausea,Asthma,Inhaler; Avoid triggers; Rest
headache,fatigue,vomiting,COVID-19,Isolation; Hydration; Doctor consultation
headache,fatigue,diarrhea,COVID-19,Isolation; Hydration; Doctor consultation
headache,fatigue,none,Pneumonia,Antibiotics; Hydration; Hospital care
headache,nausea,fever,Bronchitis,Honey; Ginger tea; Steam inhalation
headache,nausea,cough,Common Cold,Rest; Drink warm fluids; Paracetamol
